"title","link","scrapedAt"
"Claude Fable 5","https://www.anthropic.com/news/claude-fable-5-mythos-5","2026-06-09T20:57:19.596Z"
"Ultrafast machine learning on FPGAs via Kolmogorov-Arnold Networks","https://aarushgupta.io/posts/kan-fpga/","2026-06-09T20:57:19.614Z"
"Google's 20% 'project' has become AI's 120% 'attention'","https://joe.dev/posts/new-20pct-time/","2026-06-09T20:57:19.614Z"
"Making Graphics Like it's 1993","https://staniks.github.io/articles/catlantean-3d-blog-1/","2026-06-09T20:57:19.614Z"
"Test-case reducers are underappreciated debugging tools","https://tratt.net/laurie/blog/2026/test_case_reducers_are_underappreciated_debugging_tools.html","2026-06-09T20:57:19.615Z"
"A giant star may have destroyed itself in one of the rarest explosions","https://phys.org/news/2026-05-giant-star-destroyed-universe-rarest.html","2026-06-09T20:57:19.615Z"
"Microsoft's open source tools were hacked to steal passwords of AI developers","https://techcrunch.com/2026/06/08/microsofts-open-source-tools-were-hacked-to-steal-passwords-of-ai-developers/","2026-06-09T20:57:19.615Z"
"Flat Datacenter Networks at Scale at Amazon","https://perspectives.mvdirona.com/2026/06/flat-datacenter-networks-at-scale/","2026-06-09T20:57:19.615Z"
"CEOs Who Think AI Replaces Their Employees Are Just Bad CEOs","https://www.techdirt.com/2026/06/09/ceos-who-think-ai-replaces-their-employees-are-just-bad-ceos/","2026-06-09T20:57:19.615Z"
"Apple decided not to roll out Siri in EU after denied request for exemption","https://www.reuters.com/business/apple-failed-make-its-ai-tool-comply-eu-regulations-eu-commission-says-2026-06-09/","2026-06-09T20:57:19.615Z"
"The LD_DEBUG environment variable (2012)","https://bnikolic.co.uk/blog/linux-ld-debug.html","2026-06-09T20:57:19.615Z"
"Biff.core: system composition for Clojure web apps","https://biffweb.com/p/core/","2026-06-09T20:57:19.615Z"
"Ask HN: Are you still using a Vision Pro?","item?id=48465702","2026-06-09T20:57:19.615Z"
"OpenCV 5 Is Here: The Biggest Leap in Years for Computer Vision","https://opencv.org/opencv-5/","2026-06-09T20:57:19.615Z"
"FCC wants to kill burner phones by forcing telecoms to get all customers' IDs","https://www.404media.co/fcc-wants-to-kill-burner-phones-by-forcing-telecoms-to-get-all-customers-ids/","2026-06-09T20:57:19.615Z"
"Let's Encrypt bans certificate usage in any US sanctioned territory [pdf]","https://letsencrypt.org/documents/LE-SA-v1.7-June-04-2026-diff.pdf","2026-06-09T20:57:19.615Z"
"Launch HN: Transload (YC P26) – Measuring freight items with CCTV","item?id=48463273","2026-06-09T20:57:19.615Z"
"Is Grep All You Need? How Agent Harnesses Reshape Agentic Search","https://arxiv.org/abs/2605.15184","2026-06-09T20:57:19.615Z"
"What it feels like to work with Mythos","https://www.oneusefulthing.org/p/what-it-feels-like-to-work-with-mythos","2026-06-09T20:57:19.615Z"
"Blaise v0.10.0: Native Back End, Threads and Incremental Compilation","https://github.com/graemeg/blaise/discussions/82","2026-06-09T20:57:19.615Z"
"Where is the AI jobs crisis?","https://www.apollo.com/wealth/the-daily-spark/where-is-the-ai-jobs-crisis","2026-06-09T20:57:19.615Z"
"The iPhone's Last Stand?","https://stratechery.com/2026/the-iphones-last-stand/","2026-06-09T20:57:19.615Z"
"Show HN: Gravity – interactive solar-system simulator, from Newton to Einstein","https://qunabu.github.io/Gravity/","2026-06-09T20:57:19.615Z"
"Emerge Career (YC S22) Is Hiring a Founding Growth Marketer","https://www.ycombinator.com/companies/emerge-career/jobs/v0S1AEG-founding-growth-marketer","2026-06-09T20:57:19.615Z"
"Can LLMs Beat Classical Hyperparameter Optimization Algorithms?","https://arxiv.org/abs/2603.24647","2026-06-09T20:57:19.615Z"
"Show HN: GentleOS – A pair of hobby OSes for vintage 32-bit and 16-bit PCs","https://github.com/luke8086/gentleos32","2026-06-09T20:57:19.615Z"
"Show HN: Cost.dev (YC W21) – making agents cost-aware and cheaper to call","https://cost.dev/","2026-06-09T20:57:19.615Z"
"GPT-2: Too Dangerous To Release (2019)","https://naokishibuya.github.io/blog/2022-12-30-gpt-2-2019/","2026-06-09T20:57:19.615Z"
"Unified Controllable and Faithful Text-to-CAD Generation with LLMs","https://arxiv.org/abs/2604.19773","2026-06-09T20:57:19.615Z"
"Forever Young: how one molecule can lock plants in a youthful state (2025)","https://omnia.sas.upenn.edu/story/biologist-scott-poethig-plants-never-age","2026-06-09T20:57:19.615Z"
